"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2020";"0000";"27,3";"27,4";"27,1";"80,0";"81,0";"79,0";"23,7";"23,8";"23,2";"1006,4";"1006,4";"1006,1";"2,7";"107,0";"6,0";"";"0,0"
"01/01/2020";"0100";"27,1";"27,3";"26,8";"81,0";"82,0";"80,0";"23,5";"23,6";"23,4";"1006,8";"1006,8";"1006,4";"2,7";"108,0";"6,1";"";"0,0"
"01/01/2020";"0200";"27,1";"27,1";"27,0";"80,0";"81,0";"80,0";"23,3";"23,6";"23,3";"1006,7";"1006,8";"1006,7";"3,1";"103,0";"6,3";"";"0,0"
"01/01/2020";"0300";"27,1";"27,1";"26,9";"81,0";"81,0";"80,0";"23,5";"23,5";"23,3";"1006,3";"1006,7";"1006,3";"2,4";"110,0";"6,3";"";"0,0"
"01/01/2020";"0400";"27,0";"27,1";"27,0";"81,0";"82,0";"81,0";"23,4";"23,6";"23,4";"1005,5";"1006,3";"1005,5";"3,2";"118,0";"5,5";"";"0,0"
"01/01/2020";"0500";"26,9";"27,0";"26,9";"81,0";"81,0";"80,0";"23,3";"23,5";"23,3";"1005,2";"1005,6";"1005,2";"2,8";"111,0";"5,8";"";"0,0"
"01/01/2020";"0600";"26,8";"26,9";"26,8";"82,0";"82,0";"81,0";"23,4";"23,4";"23,2";"1005,1";"1005,2";"1005,0";"2,5";"110,0";"5,1";"";"0,0"
"01/01/2020";"0700";"26,8";"26,9";"26,8";"82,0";"82,0";"81,0";"23,4";"23,4";"23,3";"1005,5";"1005,5";"1005,1";"2,3";"109,0";"4,7";"";"0,0"
"01/01/2020";"0800";"26,8";"26,9";"26,7";"81,0";"82,0";"81,0";"23,3";"23,5";"23,3";"1005,9";"1005,9";"1005,5";"1,8";"103,0";"4,1";"";"0,0"
"01/01/2020";"0900";"26,8";"26,8";"26,6";"82,0";"83,0";"81,0";"23,4";"23,6";"23,2";"1006,5";"1006,5";"1005,9";"1,8";"115,0";"3,6";"14,30";"0,0"
"01/01/2020";"1000";"27,2";"27,3";"26,8";"80,0";"82,0";"80,0";"23,4";"23,5";"23,3";"1007,1";"1007,1";"1006,5";"2,2";"125,0";"4,2";"135,50";"0,0"
"01/01/2020";"1100";"27,4";"27,5";"27,2";"79,0";"80,0";"79,0";"23,5";"23,7";"23,4";"1007,2";"1007,2";"1007,1";"2,6";"124,0";"4,8";"352,90";"0,0"
"01/01/2020";"1200";"27,4";"27,6";"27,4";"80,0";"80,0";"79,0";"23,6";"23,8";"23,4";"1007,3";"1007,5";"1007,2";"3,3";"115,0";"5,8";"364,20";"0,0"
"01/01/2020";"1300";"28,4";"28,4";"27,4";"76,0";"80,0";"76,0";"23,9";"23,9";"23,3";"1007,1";"1007,3";"1007,1";"3,2";"124,0";"5,7";"762,90";"0,0"
"01/01/2020";"1400";"28,9";"29,2";"28,4";"74,0";"76,0";"72,0";"23,7";"24,1";"23,2";"1006,7";"1007,1";"1006,7";"3,6";"126,0";"6,5";"2088,90";"0,0"
"01/01/2020";"1500";"28,0";"29,6";"28,0";"76,0";"76,0";"71,0";"23,4";"24,3";"23,0";"1006,4";"1006,7";"1006,4";"2,8";"109,0";"6,9";"1220,40";"0,0"
"01/01/2020";"1600";"28,5";"28,6";"27,8";"74,0";"77,0";"74,0";"23,5";"23,8";"23,1";"1005,7";"1006,4";"1005,7";"4,2";"116,0";"6,8";"1695,90";"0,0"
"01/01/2020";"1700";"28,1";"29,9";"28,1";"75,0";"76,0";"71,0";"23,3";"24,4";"23,1";"1004,7";"1005,7";"1004,7";"4,2";"123,0";"7,2";"2160,40";"0,0"
"01/01/2020";"1800";"28,0";"29,0";"27,7";"76,0";"77,0";"74,0";"23,4";"24,1";"23,2";"1004,2";"1004,7";"1004,2";"3,8";"124,0";"6,9";"1074,40";"0,0"
"01/01/2020";"1900";"27,7";"28,4";"27,7";"76,0";"78,0";"74,0";"23,1";"24,1";"23,1";"1004,3";"1004,4";"1004,0";"3,7";"115,0";"7,2";"902,10";"0,0"
"01/01/2020";"2000";"27,5";"28,0";"27,5";"78,0";"78,0";"75,0";"23,3";"23,4";"23,0";"1004,8";"1004,8";"1004,3";"3,2";"127,0";"6,2";"308,20";"0,0"
"01/01/2020";"2100";"27,1";"27,5";"27,1";"78,0";"79,0";"78,0";"23,0";"23,4";"23,0";"1005,3";"1005,3";"1004,8";"2,5";"120,0";"6,2";"14,60";"0,0"
"01/01/2020";"2200";"27,2";"27,2";"27,1";"79,0";"79,0";"78,0";"23,3";"23,3";"22,9";"1005,3";"1005,4";"1005,3";"2,8";"123,0";"5,1";"";"0,0"
"01/01/2020";"2300";"27,1";"27,2";"27,1";"80,0";"80,0";"78,0";"23,3";"23,4";"23,0";"1005,9";"1005,9";"1005,3";"3,5";"110,0";"6,6";"";"0,0"
"02/01/2020";"0000";"27,0";"27,2";"27,0";"81,0";"81,0";"79,0";"23,4";"23,5";"23,2";"1006,3";"1006,3";"1005,8";"2,7";"102,0";"7,0";"";"0,0"
